n,distribution,comparisons,swaps,arrayAccesses,timeMs
100,random,536,2436,3170,0,344
100,sorted,99,0,99,0,013
100,reversed,481,4950,5629,0,360
100,nearly_sorted,622,23,843,0,075
1000,random,8597,249558,260153,15,707
1000,sorted,999,0,999,0,049
1000,reversed,7988,499500,509486,4,102
1000,nearly_sorted,8736,8554,19288,0,177
10000,random,118939,24781209,24920146,43,359
10000,sorted,9999,0,9999,0,008
10000,reversed,113632,49995000,50128630,74,064
10000,nearly_sorted,119678,672174,811850,1,305
100000,random,1522843,2495908602,2497631443,3550,498
100000,sorted,99999,0,99999,0,076
100000,reversed,1468947,4999950000,5001618945,6912,439
100000,nearly_sorted,1525539,66733724,68459261,90,755
